joke,"He smiled thinly , savoring his joke ."
claimed,"Soon the office work claimed all her time ."
churned,"The small helicopter with its two steel skids churned offshore and Nick raised up to watch it heading south ."
dispute,"There is no dispute involving fieldwork ."
doctrine,"This doctrine was repugnant to my moral sense ."
grain,"The Japanese sake is wine fermented from rice grain ."
death,"Boredom is death ."
won,"Player won only one ."
nuper,"Graceful as his fencing and dancing lessons had taught him to be in addition to the natural grace of his slight , wiry frame , he cut enough of a figure to have evoked a nickname in the college , to which he himself referred in Prolusion 6 : : A quibusdam , , audivi nuper Domina ."
scour,"We scour literature for them ; ; here we find stored the wisdom of great minds ."
der,"However , a major factor in binding dirt is the attraction between surfaces that goes under the name of Van der Waal's forces ."
sterling,"The cast : Since the hero , a sterling and upright fellow , is a rich Brown senior , while two Yalies are cast as virtual rapists , I suppose I should disqualify myself from sitting in judgment on `` Where The Boys Are '' , but I shall do nothing of the sort ."
liked,"He liked looking at Anne ."
lapse,"It will rise during lapse conditions ."
scrawled,"Somebody had scrawled American Express , Piazza di Spagna ?"
piracy,"He called for a greater attraction of industry and a stop to the piracy of industry by Southern states , and a strong fight against discrimination in business and industry ."
sari,"The door opened and three men and a woman in a sari swept past him and down the stairs ."
shocker,"As A moral shocker it is a dud ."
die,"`` Will he die '' ?"
coursing,"A fearful pain had come from his head , as if the water were coursing up through the blood vessels and expanding them ."
policed,"One item in this unhappy scheme was to have Germany policed exclusively by its continental neighbors , among whom only the Soviet Union possessed real military strength ."
absent,"`` To absent loved ones '' ."
echo,"A dull boom and a throbbing echo ."
crumbled,"Andy crumbled the script in his fist ."
weapon,"Nick asked , apprehensively , staring at the weapon ."
axle,"These are MPH for Car speed , for Engine crankshaft speed , for Rear axle gear ratio , for Tire size ."
smirked,"Alec smirked ."
remuda,"The rest of the crew offsaddled their mounts and turned them into the remuda ."
filament,"This new machine takes up filament yarn from spinneret or extruder and winds large packages at speeds up to 6,000 feet per minute ."
grew,"I grew uneasy ."
languished,"The convicts were put in chains , paraded before the congregation at the Reverend Cotton's lecture as an example , and sent to prisons in various towns , where they languished all winter , chains included ."
honestly,"Palmer's dozen were honestly earned ."
removal,"46 , depicting his removal as a setback to the Constitution ."
thump,"In an ideological argument , the participants tend to thump the table ."
april,"The Independence Day celebration will be properly observed with a big military and civic parade from West Warwick to the Greene Homestead in Anthony ; ; and now , therefore , do I , John A. Notte , Jr. , governor of the State of Rhode Island and Providence Plantations , proclaim the week of april 29th to may 7th , 1961 , as Rhode Island Heritage Week , advising our citizens that throughout this week many historic houses and beautiful gardens will be open to visitors as well as industrial plants , craft shops , museums and libraries and I earnestly urge all to take advantage of these opportunities to see as many of these places as they can during this outstanding week ."
handy,"`` A cane's mighty handy ."
altering,"`` Seems to me I don't remember altering any law about that '' ."
idolatry,"The Mahayana that developed in the north was a religion of idolatry and coarse magic , that made the world into a huge magical garden ."
